name,address,Key_money,area,Key_money/area,0,1,2,3,4,5
힐링푸드,제주특별자치도 제주시 월랑로2길 22,171730000,40.0,4293250.0,제주특별자치도,제주시,월랑로2길,22,,
에머이 제주점,제주특별자치도 제주시 인다3길 8-2,20710000,40.0,517750.0,제주특별자치도,제주시,인다3길,8-2,,
사쿠라미치,제주특별자치도 제주시 전농로 48-1 (삼도일동 529-3),155660000,19.0,8192631.579,제주특별자치도,제주시,전농로,48-1,(삼도일동,529-3)
마포화곱창,제주특별자치도 제주시 조천읍 신북로 529,46450000,19.0,2444736.842,제주특별자치도,제주시,조천읍,신북로,529,
애월연어 함덕점,제주특별자치도 제주시 조천읍 조함해안로 496,38210000,30.0,1273666.667,제주특별자치도,제주시,조천읍,조함해안로,496,
교촌치킨 함덕점,제주특별자치도 제주시 조천읍 조함해안로 510,64060000,46.0,1392608.696,제주특별자치도,제주시,조천읍,조함해안로,510,
황금고팡,제주특별자치도 제주시 조천읍 함덕13길 5,206960000,60.0,3449333.333,제주특별자치도,제주시,조천읍,함덕13길,5,
바바호미 게스트하우스,제주특별자치도 제주시 조천읍 함덕서4길 60-21,36500000,70.0,521428.5714,제주특별자치도,제주시,조천읍,함덕서4길,60-21,
홍익돈까스제주점,제주특별자치도 제주시 중앙로 501,54630000,60.0,910500.0,제주특별자치도,제주시,중앙로,501,,
아라숯불갈비,제주특별자치도 제주시 중앙로 555,47390000,26.0,1822692.308,제주특별자치도,제주시,중앙로,555,,
부가네얼큰이 첨단점,제주특별자치도 제주시 첨단로 199,35850000,15.0,2390000.0,제주특별자치도,제주시,첨단로,199,,
도갈비,제주특별자치도 제주시 한라대학로 85,20440000,113.0,180884.9558,제주특별자치도,제주시,한라대학로,85,,
스위튼,제주특별자치도 제주시 화삼로1길 14,118390000,28.0,4228214.286,제주특별자치도,제주시,화삼로1길,14,,
